name,lat,lon,country
University of California,37.7763137817383,-122.387794494629,United States
Zymo Research Corp,33.6836853027344,-117.845985412598,United States
Medical College of Soochow University,36.5631141662598,103.735809326172,China
The Third People's Hospital of Wuxi,36.5631141662598,103.735809326172,China
Key Laboratory of Parasitic Disease Control and Prevention (Ministry of Health),36.5631141662598,103.735809326172,China
University of Milan,43.5290298461914,12.1621837615967,Italy
University Hospital ASST Fatebenefratelli Sacco,43.5290298461914,12.1621837615967,Italy
University of Messina,43.5290298461914,12.1621837615967,Italy
University of Idaho,39.4959106445312,-98.9899826049805,United States
Kaohsiung Medical University,23.7489929199219,120.971282958984,Taiwan
China Medical University,23.7489929199219,120.971282958984,Taiwan
Banaras Hindu University,22.4931182861328,79.7270126342773,India
The University of Western Ontario,62.5360412597656,-96.3883514404297,Canada
University of Minnesota,39.4959106445312,-98.9899826049805,United States
University Hospital Cancer Center,40.739238,-74.191476,United States
The Cancer Institute of New Jersey,40.496446,-74.448691,United States
MRIGlobal,39.1132965087891,-77.2452011108398,United States
"EpiPointe, LLC",35.7275352478027,-78.7809371948242,United States
Kazakh National University,43.2292594909668,76.9209365844727,Kazakhstan
Kazakh National Agrarian University,43.2499008178711,76.9627990722656,Kazakhstan
Uniformed Services University of the Health Sciences,38.9964561462402,-77.1057586669922,United States
Norwegian University of Life Sciences,58.83172,5.75087,Norway
Shandong University,36.5631141662598,103.735809326172,China
University of Southern Denmark,56.2622756958008,9.3363561630249,Denmark
University of California,37.8056831359863,-122.268104553223,United States
Institut National de Recherche Biomedicale,51.1218070983887,10.4006948471069,Germany
Kinshasa School of Public Health,-4.44445610046387,15.9150981903076,Congo (DRC)
Ministère de la Sante,46.2638092041016,2.3486499786377,France
Chatham House Center on Global Health Security,51.5077018737793,-0.136000007390976,United Kingdom
London School of Hygiene and Tropical Medicine,53.9438362121582,-2.55056309700012,United Kingdom
Dunstable University Hospital NHS Foundation Trust,51.89393,-0.47549,United Kingdom
Tufts University School of Medicine,39.4959106445312,-98.9899826049805,United States
Medical College of Wisconsin,39.4959106445312,-98.9899826049805,United States
Shandong University of Traditional Chinese Medicine,36.5631141662598,103.735809326172,China
The University of Illinois at Chicago,41.8804931640625,-87.6864013671875,United States
University of Illinois at Chicago,41.8804931640625,-87.6864013671875,United States
Texas Biomedical Research Institute,29.4000244140625,-98.6508712768555,United States
University of Illinois,41.8804931640625,-87.6864013671875,United States
Shanghai Jiaotong University,36.5631141662598,103.735809326172,China
The George Washington University,39.4959106445312,-98.9899826049805,United States
United States of America,39.4959106445312,-98.9899826049805,United States
University of Würzburg,49.80358,9.95998,Germany
University of Würzburg,49.80074,9.95382,Germany
University of Texas,29.311067,-94.777753,United States
Kansas State University,39.1849098205566,-96.5685424804688,United States
University of Malaya,3.12194395065308,101.653533935547,Malaysia
Curtin University,-32.002384185791,115.910163879395,Australia
The University of Queensland,-25.5789356231689,134.359725952148,Australia
University of Michigan,42.28144167,-83.74011167,United States
University of Ghana,7.9606761932373,-1.20756804943085,Ghana
University of Michigan Medical School,42.284883,-83.733616,United States
emergentec biodevelopment GmbH,48.20969,16.35584,Austria
University of Vienna,48.1892105,16.4011247,Austria
Chonnam National University,36.4511566162109,127.861145019531,South Korea
Korea Basic Science Institute,36.4511566162109,127.861145019531,South Korea
Chonnam National University,36.4511566162109,127.861145019531,South Korea
Lancaster University,53.9438362121582,-2.55056309700012,United Kingdom
University of Oxford,53.9438362121582,-2.55056309700012,United Kingdom
Universidade CEUMA,-10.7753753662109,-53.0693168640137,Brazil
Instituto Federal do Maranhão,-10.7753753662109,-53.0693168640137,Brazil
Universidade Federal do Maranhão,-10.7753753662109,-53.0693168640137,Brazil
University of Washington,39.4959106445312,-98.9899826049805,United States
National Pet Alliance,39.4959106445312,-98.9899826049805,United States
Oswaldo Cruz Foundation,-10.7753753662109,-53.0693168640137,Brazil
University of Zurich,46.8002090454102,8.22919178009033,Switzerland
"Sarepta Therapeutics, Inc",39.4959106445312,-98.9899826049805,United States
Army Medical Research Institute of Infectious Diseases,39.4959106445312,-98.9899826049805,United States
Public Health Agency of Canada,62.5360412597656,-96.3883514404297,Canada
Amsterdam University Medical Center,52.2900733947754,4.9548602104187,Netherlands
Cantonal Hospital St,46.8002090454102,8.22919178009033,Switzerland
UAB,40.3876953125,-3.55738997459412,Spain
Vialle delle Terme di Caracalla,43.5290298461914,12.1621837615967,Italy
"Sigmovir Biosystems, Inc",39.4959106445312,-98.9899826049805,United States
University of Maryland School of Medicine,39.4959106445312,-98.9899826049805,United States
Lovelace Respiratory Research Institute,39.4959106445312,-98.9899826049805,United States
University of Georgia,33.9486312866211,-83.3729934692383,United States
Chinese Academy of Agricultural Sciences,36.5631141662598,103.735809326172,China
Federal University of Pará,-1.46726500988007,-48.4610710144043,Brazil
Murdoch University,-32.0639,115.83585,Australia
University of Western Australia Perth,-31.983247756958,115.80729675293,Australia
University of Cincinnati College of Medicine,39.1529502868652,-84.4850234985352,United States
University College London Institute of Child Health London,51.5232315063477,-0.12007299810648,United Kingdom
University of Veterinary and Pharmaceutical Sciences,40.9437103271484,40.2619209289551,Turkey
University of Basra,33.0453872680664,43.7755508422852,Iraq
University of Tehran,32.5642623901367,54.3036727905273,Iran
The University of Hong Kong,22.2802925109863,114.142951965332,Hong Kong SAR
Universität,51.1218070983887,10.4006948471069,Germany
South Dakota State University,44.3144645690918,-96.7681274414062,United States
Swiss Tropical and Public Health Institute,46.8002090454102,8.22919178009033,Switzerland
University of Bern,46.8002090454102,8.22919178009033,Switzerland
